Kategori;Parça No (Part No);Model;Ürün Açıklaması (Description);Liste Fiyatı (GBP)
MDR-500 Series Mobile Digital Recorders - Complete Systems;6432;MDR-504-2-G2-SSD;MDR-500 4 Camera, 2TB HDD, SSD, 32GB SD (GEN 2);1648.47
MDR-500 Series Mobile Digital Recorders - Complete Systems;6433;MDR-504G-2-G2-SSD;MDR-500 4G 4 Camera, 2TB SSD, 32GB SD (GEN 2);1888.25
MDR-500 Series Mobile Digital Recorders - Complete Systems;6434;MDR-504GW-2-G2-SSD;MDR-500 4G & WiFi 4 Camera, 2TB SSD, 32GB SD (GEN 2);2008.14
MDR-500 Series Mobile Digital Recorders - Complete Systems;6437;MDR-508-2-G2-SSD;MDR-500 8 Camera, G-Sensor, 2TB SSD, 64GB SD (GEN 2);1726.64
MDR-500 Series Mobile Digital Recorders - Complete Systems;6438;MDR-508G-2-G2-SSD;MDR-500 4G 8 Camera, G-Sensor, 2TB SSD, 64GB SD (GEN 2);1924.76
MDR-500 Series Mobile Digital Recorders - Complete Systems;6439;MDR-508GW-2-G2-SSD;MDR-500 4G & WiFi 8 Camera, G-Sensor, 2TB SSD, 64GB SD (GEN 2);2025.56
MDR-500 Series - Optional Extras;4981;MDR-06RPC;MDR-500 Remote Control Panel;68.78
MDR-500 Series - Optional Extras;4883;MDR-03GCS;MDR-500 G-Sensor;36.60
MDR-500 Series - Optional Extras;B4882;MDR-03RPC;MDR-500 Series Remote Control Panel;68.78
MDR-500 Series - Optional Extras;4986;MDR-500-500-HDD-CADDY;MDR-500 Series 500GB HDD Caddy;204.60
MDR-500 Series - Optional Extras;5031;MDR-500-1000-HDD-CADDY;MDR-500 Series 1TB HDD Caddy;262.24
MDR-500 Series - Optional Extras;5032;MDR-500-2000-HDD-CADDY;MDR-500 Series 2TB HDD Caddy;351.45
MDR-500 Series - Optional Extras;5779;MDR-500-500-SSD-CADDY;MDR-500 Series 500GB SSD Caddy;266.36
MDR-500 Series - Optional Extras;5780;MDR-500-1000-SSD-CADDY;MDR-500 Series 1TB SSD Caddy;456.97
MDR-500 Series - Optional Extras;6064;MDR-500-2000-SSD-CADDY;MDR-500 Series 2TB SSD Caddy;847.65
MDR-500 Series - Optional Extras;4886;MDR-500-ENC;MDR-500 Fireproof Housing;435.53
MDR-500 Series - Optional Extras;5070;MDR-02MCU-32-SD;MDR-02MCU Mirror Recorder (32GB);389.96
MDR-500 Series - Optional Extras;5185;MDR-500-LOCK;MDR-500 Security Lock Key;14.33
MDR-500 Series - Optional Extras;6342;MDR-500-CADDY;MDR-500 Caddy Unit No HDD/SSD;170.83
MDR-500 Series - Optional Extras;6208;MDR-500-1000-SSD;1TB SSD for MDR-500 Caddy;313.31
MDR-500 Series - Optional Extras;6209;MDR-500-2000-SSD;2TB SSD for MDR-500 Caddy;724.71
MDR-500 Series - Optional Extras;5943;MDR-500-500-SSD;500 Gb SSD for MDR-500 Caddy;183.33
MDR-500 Series - Optional Extras;5932;MD-50-W-FF;Fixed Lens Camera for MDR (Wide Angle);186.45
MDR-500 Series - Optional Extras;5933;MD-51-W-FF;Fixed Lens Camera for MDR (Wide Angle);186.45
MDR-500 Series - Optional Extras;5911;MDR-500-USB-B-01;USB Cable A-Male to B-Male 3.0 Cable - 1M;18.06
MDR-500 Series - Optional Extras;5525;MDR-508GW-EXP-0;Expansion Module for MDR-508GW, with No Cams;252.06
MDR-500 Series - Optional Extras;5546;MDR-06RPC-5;Remote Control Panel with 5m Cable;59.60
MDR-500 Series - Optional Extras;5584;MDR-06RPC-10;Remote Control Panel with 10m Cable;65.17
Mobile Digital Recorders - Ancillaries;4871;MDR-RP01;MDR Remote Status Indicator / Panic Button;36.60
Mobile Digital Recorders - Ancillaries;4872;MDR-GS-02;MDR G-Sensor (MDR-200 & MDR-400 Series);32.89
Mobile Digital Recorders - Ancillaries;4868;MDR-AVG02;MDR-400 Monitor Output Adapter Cable;10.87
Mobile Digital Recorders - Ancillaries;4889;MDR-MOUSE;MDR Mouse;8.09
Mobile Digital Recorders - Ancillaries;4979;MDR-05RPC;MDR-504 Remote Control Panel;68.78
Mobile Digital Recorders - Ancillaries;5371;MDR-FP-BKT01;MDR Fireproof Box Mounting Bracket (External);44.20
Mobile Digital Recorders - Ancillaries;5372;MDR-FP-BKT02;MDR Fireproof Box Mounting Bracket (Internal);32.33
Mobile Digital Recorders - Ancillaries;S6016;MDR-USB-A-01;MDR USB 3.0 Cable - Type A to Type A Connectors;9.65
Ultrasonic Detection - Backscan;5861;BS-4000W;Backscan® 4-Sensor System;171.49
Ultrasonic Detection - Backscan;4214;UDS-001CAL;Backscan®/ Sidescan® Calibration Tool;26.31
Ultrasonic Detection - Sidescan;5865;SS-4100W;Sidescan® 4-Sensor System (Mute);177.30
Ultrasonic Detection - Sidescan;5922;SS-4200W;Sidescan® 4-Sensor System (Low Speed & Mute), LS-60-A;312.44
Ultrasonic Detection - Frontscan;5868;FS-4000W;Frontscan® 4-Sensor System;177.29
Ultrasonic Detection - Cornerscan;5867;CS-3100;Cornerscan® 3-Sensor System (Mute);242.06
Ultrasonic Detection - Step/Stepscan;5864;ST-2100-60-A;Stepscan® 2-Sensor System (Low Speed & Mute), LS-60-A;279.79
Ultrasonic Detection - Ancillaries;3568;SS-4000W;Sidescan® Sensor System;160.89
Ultrasonic Detection - Ancillaries;3836;UDS-RELAY-24;UDS 24 Volt Relay;5.83
Ultrasonic Detection - Ancillaries;5707;SS-BC-08;Sidescan® Buzzer/Display, 2.5m Cable;18.42
Ultrasonic Detection - Ancillaries;4605;UDS-10BC;Backscan® Buzzer;14.66
Ultrasonic Detection - Ancillaries;4382;UDS-005;UDS 5m Sensor Extension Cable;23.36
Ultrasonic Detection - Ancillaries;4383;UDS-010;UDS 10m Extension Cable Display/Buzzer to ECU;30.07
Ultrasonic Detection - Ancillaries;4379;UDS-000SC;UDS Sensor 0 Deg Flush Mount, rubber sleeve, no sleeve/collars;34.80
Ultrasonic Detection - Ancillaries;4381B;UDS-000SC(18H);UDS Sensor 18 Deg Hole Mount, no rubber sleeve, 18 deg adhesive collar;34.80
Ultrasonic Detection - Ancillaries;4433;UDS-025;UDS 2.5m Sensor Extension Cable;21.60
Ultrasonic Detection - Ancillaries;4688;UDS-RELAY-12;UDS 12 Volt Relay;5.83
Ultrasonic Detection - Ancillaries;5170;UDS-000SC(11H);UDS Sensor 11 Deg Hole Mount, no rubber sleeve, 11degree adhesive collar;34.80
Ultrasonic Detection - Ancillaries;5883;UDS-000SC-14U;UDS Sensor, Underslung 14 Deg;34.80
Reverse Alarms - BBS-Tek White Sound;1350;BBS-82;BBS-Tek®, Medium Duty, 82 Decibels;42.22
Reverse Alarms - BBS-Tek White Sound;1353;BBS-87;BBS-Tek®, Medium Duty, 87 Decibels;42.22
Reverse Alarms - BBS-Tek White Sound;1484;BBS-92;BBS-Tek®, Heavy Duty, 92 Decibels;48.33
Reverse Alarms - BBS-Tek White Sound;1354;BBS-97;BBS-Tek®, Heavy Duty, 97 Decibels;48.33
Reverse Alarms - BBS-Tek White Sound;1341;BBS-102;BBS-Tek®, Heavy Duty, 102 Decibels;90.72
Reverse Alarms - BBS-Tek White Sound;1356;BBS-107;BBS-Tek®, Heavy Duty, 107 Decibels;90.72
Reverse Alarms - BBS-Tek White Sound;1351;SA-BBS-97;BBS-Tek®, Smart, Self-Adjusting, Medium Duty, 77-97 Decibels;56.74
Reverse Alarms - BBS-Tek White Sound;1457;SA-BBS-107;BBS-Tek®, Smart, Self-Adjusting, Heavy Duty, 87-107 Decibels;104.28
Reverse Alarms - BBS-Tek White Sound;4273;BBS-92(HV);BBS-Tek® Electric Forklift - 36-80 Volts, 92dB;60.50
Reverse Alarms - BBS-Tek White Sound;5061;BC-01;Backchat® Speaking Alarm, Single Message (Reversing/Warning);53.30
Reverse Alarms - BBS-Tek White Sound;1349;BC-02;Backchat® Speaking Alarm, Dual Message (Reversing/Warning);63.80
Reverse Alarms - BBS-Tek White Sound;1237;BC-01(NS);Backchat® Speaking Alarm, Nightshift (Double-Engage Reverse);72.50
Reverse Alarms - BBS-Tek White Sound;2380;SS-BC-08;Sidescan® Speaking Alarm, "Caution Truck Turning Left";85.01
Reverse Alarms - BBS-Tek White Sound;1214;SS-BC-09;Sidescan® Speaking Alarm, "Warning Vehicle Turning Left";85.01
Reverse Alarms - BBS-Tek White Sound;5585;SA-BBS-97(HV);BBS Tek, Smart, Self Adjusting, 36-80 Volts, 77-97dB;74.49
Reverse Alarms - QVS Quiet Vehicle Sounder;3924;QVS-001-75;Quiet Vehicle Sounder, "vehicle approaching" 75db;115.54
Reverse Alarms - Ancillaries;1239;TCO-47;Alarm Ancillary, Cut-out Switch (Auto-Reset) - 12/24V;37.76
Radar - Backsense;3608;BS-8000;Backsense® Programmable Radar Sensor System;519.26
Radar - Backsense;5045;BS-9000;Backsense® Configurable Radar Sensor System;364.67
Radar - Backsense;4516;BS-7030;Backsense® Fixed Radar Sensor System, 3m Length, 2-10m Width;361.32
Radar - Backsense;4517;BS-7045;Backsense® Fixed Radar Sensor System, 4.5m Length, 2-10m Width;361.32
Radar - Backsense;4518;BS-7060;Backsense® Fixed Radar Sensor System, 6m Length, 2-10m Width;361.32
Radar - Backsense;4643;BS-4045;Backsense® Fixed Radar Sensor System, 4.5m Length, 2.5m Width;361.32
Radar - Backsense;5539;BS-9001-MS;Backsense® Network Radar - Master Sensor;375.95
Radar - Backsense;5399;BS-8100;Backsense® On-Screen Display Module;184.44
Radar - Backsense;3981;BS-020;Backsense® Radar Extension Cable - 2m;18.06
Radar - Backsense;3982;BS-050;Backsense® Radar Extension Cable - 5m;30.01
Radar - Backsense;3983;BS-090;Backsense® Radar Extension Cable - 9m;40.82
Radar - Backsense;4392;BS-000SC;Backsense® Network Radar - Sensor Only (No Bracket);327.94
Radar - Backsense;5274;BS-02USB;USB to CAN Coverter including Adapter Cable;159.20
Radar - Backsense;3750;BS-004;Backsense® Radar Adjustable Mounting Bracket;10.87
Radar - Backsense;5899;BS-060;Backsense® Radar Extension Cable - 6m;38.60
Radar - Backsense;4002;BS-25D;Backsense® Radar 25 Degree Mounting Bracket;10.87
EXTENDED WARRANTY - Elite Camera Monitor Systems;W1316;BE-EW2;Elite CMS Additional Extended Warranty - 2 Years;53.79
EXTENDED WARRANTY - Elite Camera Monitor Systems;W0524;BE-EW3;Elite CMS Additional Extended Warranty - 3 Years;67.24
EXTENDED WARRANTY - Select Camera Monitor Systems;W3848;VBV-EW3;Select CMS Additional Extended Warranty - 3 Years;60.52
EXTENDED WARRANTY - Select Camera Monitor Systems;W3849;VBV-EW2;Select CMS Additional Extended Warranty - 2 Years;43.23
EXTENDED WARRANTY - Ultrasonic Detection;W3852;UDS-EW2;Ultrasonic Detection Additional Extended Warranty - 2 Years;43.23
EXTENDED WARRANTY - Ultrasonic Detection;W3853;UDS-EW3;Ultrasonic Detection Additional Extended Warranty - 3 Years;60.52
EXTENDED WARRANTY - Backsense Systems;W3851;BSE-EW2;Backsense® Additional Extended Warranty - 2 Years;93.18
EXTENDED WARRANTY - Backsense Systems;W3850;BSE-EW3;Backsense® Additional Extended Warranty - 3 Years;125.88
